id,title,organizationType,organization,date,location,attendees,needs,budget,description,requirements,contactEmail,url
54,Native plant Society,Department Event,Not specified,2025-02-08T09:00:00,"Colgan Hall, Verizon Auditorium, Science and Technology Campus, Colgan Hall, 110E, Breakout Room, Science and Technology Campus, Colgan Hall, 110H, Breakout Room, Science and Technology Campus, Colgan Hall, 110L, Breakout Room, Science and Technology&#8230;",0,Not specified,Not specified,,Not specified,Not specified,
55,REN - Seton: VCAC Conference Swim &amp; Dive,Department Event,Not specified,2025-02-08T10:00:00,"Freedom Center, Competition Pool Deep Deck, Science and Technology Campus, Freedom Center, Competition Pool Middle Deck, Science and Technology Campus, Freedom Center, Breakout Area, Science and Technology Campus",0,Not specified,Not specified,,Not specified,Not specified,
56,Game Day Festival,Student Organization,Not specified,2025-02-08T12:00:00,Fairfax Parking Lot A,0,Food,Not specified,"Celebrate Homecoming with friends and alumni at the annual Tailgate and Festival! Entry to the festival areas is FREE and for all ages! *Mason giveaways and free food trucks are for current Mason students only. Must show valid ID. &#160; PERMITS: information forthcoming Homecoming Game &#8211; Mason Men&#39;s Basketball vs. Rhode Island University |&#160; Game Time: 4 p.m. &#160;|&#160; EagleBank Arena, Fairfax Campus",Not specified,Not specified,
57,Tailgate weather location,Department Event,Not specified,2025-02-08T13:00:00,"Johnson Center, Bistro, Fairfax Campus, Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Not specified,Not specified,,Not specified,Not specified,
58,Hold: Lunar New Year Snow Date,Department Event,Not specified,2025-02-08T18:30:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Hold%3a+Lunar+New+Year+Snow+Date)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,Not specified,Hold: Lunar New Year Snow Date,Not specified,Not specified,
59,Collegiate Esports Tournament,Department Event,Not specified,2025-02-09T08:00:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Meeting Room 1 &amp; 2, Fairfax Campus, The HUB, Meeting Room 3 &amp; 4, Fairfax Campus, The HUB, Ballroom, Lobby, Fairfax Campus",0,Not specified,Not specified,This will be a collegiate esports event with 60+ pc&#39;s and a bunch of colleges. It would run for&#160; 2 full days from 9am-10pm,Not specified,Not specified,
60,Forensics Tournament,Department Event,Not specified,2025-02-09T08:00:00,,0,Not specified,Not specified,Forensics Tournament,Not specified,Not specified,
61,Robinson Secondary Gala Concert with Vienna Choral Society,Student Organization,Not specified,2025-02-09T16:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Robinson+Secondary+Gala+Concert+with+Vienna+Choral+Society)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,$25,The music of Robinson Secondary School presents&#160; Carmina Burana &#160;in collaboration with the Vienna Choral Society. $25 adult (22+); $20 senior (65+); $15 student (10&#8211;18); free youth (10 and under),Not specified,Not specified,
62,Admissions - CEC Visit Day,Department Event,Not specified,2025-02-10T10:00:00,"Johnson Center, Cinema, Fairfax Campus, Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus, Johnson Center, G29, Dewberry Hall Lobby&#8230;",0,Not specified,Not specified,"CEC Visit Days are open houses for prospective freshmen interested in academic programs within the College of Engineering and Computing. The event includes an Admissions information session, a campus tour, lunch with CEC Staff and Faculty and CEC academic information sessions/browsing.",Not specified,Not specified,
63,Pakistani Student Association General Body Meeting,Department Event,Not specified,2025-02-11T12:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Pakistani+Student+Association+General+Body+Meeting)"" target=""_blank"" rel=""noopener"">Johnson Center, Bistro, Fairfax Campus</a>",0,Not specified,Not specified,One of our bigger recurring general body meetings.,Not specified,Not specified,
64,Azucar Bacahta 1,Department Event,Not specified,2025-02-11T19:00:00,"<a href=""http://maps.google.com/?q=38.830703,-77.304832(Azucar+Bacahta+1)"" target=""_blank"" rel=""noopener"">The HUB, Ballroom, Front &amp; Middle, Fairfax Campus</a>",0,Not specified,Not specified,Bachata 1 Class and Social,Not specified,Not specified,
65,Hayden Center Event,Department Event,Not specified,2025-02-12T15:00:00,"<a href=""http://maps.google.com/?q=38.885051,-77.101032(Hayden+Center+Event)"" target=""_blank"" rel=""noopener"">Van Metre Hall, 134, Auditorium, Mason Square</a>",0,Food,Not specified,"Panel-style event with later Q&A featuring journalists, policymakers, and government officials talking about matters of national security. After the event, there will be complimentary food and beverage.",Not specified,Not specified,
66,PSA Movie Night,Department Event,Not specified,2025-02-12T16:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(PSA+Movie+Night)"" target=""_blank"" rel=""noopener"">Johnson Center, Cinema, Fairfax Campus</a>",0,Not specified,Not specified,PSA Movie Night,Not specified,Not specified,
67,Hayden Center Event,Department Event,Not specified,2025-02-12T19:00:00,"<a href=""http://maps.google.com/?q=38.885051,-77.101032(Hayden+Center+Event)"" target=""_blank"" rel=""noopener"">Van Metre Hall, 125/126, Multipurpose Room, Mason Square</a>",0,Food,Not specified,"Panel-style event with later Q&A featuring journalists, policymakers, and government officials talking about matters of national security. After the event, there will be complimentary food and beverage.",Not specified,Not specified,
68,Azucar Zouk 1,Department Event,Not specified,2025-02-12T20:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Azucar+Zouk+1)"" target=""_blank"" rel=""noopener"">Johnson Center, Bistro, Fairfax Campus</a>",0,Not specified,Not specified,Azucar Zouk 1 Class and Social,Not specified,Not specified,
69,Univ Life All Staff Meeting Spr 2025,Department Event,Not specified,2025-02-13T07:30:00,"Johnson Center, G19, Gold Room, Fairfax Campus, Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus, Johnson Center, G29, Dewberry Hall&#8230;",0,Not specified,Not specified,,Not specified,Not specified,
70,PWC Black History Month,Department Event,Not specified,2025-02-13T11:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(PWC+Black+History+Month)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Gregory Family Theater</a>",0,Not specified,Not specified,tbd,Not specified,Not specified,
71,Bioengineering Networking Force Event,Student Organization,Not specified,2025-02-13T16:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Bioengineering+Networking+Force+Event)"" target=""_blank"" rel=""noopener"">Johnson Center, Cinema, Fairfax Campus</a>",0,Not specified,Not specified,The Bioengineering Networking Force Event will bring together students with employers and alumni in the field of Bioengineering.,Not specified,Not specified,
72,Admissions - CEC Visit Day,Department Event,Not specified,2025-02-14T10:00:00,"Johnson Center, Cinema, Fairfax Campus, Johnson Center, 244, Conference Room, Fairfax Campus, Johnson Center, 325, Meeting Room A, Fairfax Campus, Johnson Center, 326, Meeting Room B, Fairfax Campus, Johnson Center, 327, Meeting Room C, Fairfax Campus,&#8230;",0,Not specified,Not specified,"CEC Visit Days are open houses for prospective freshmen interested in academic programs within the College of Engineering and Computing. The event includes an Admissions information session, a campus tour, lunch with CEC Staff and Faculty and CEC academic information sessions/browsing.",Not specified,Not specified,
73,Schooltime Matinee: Versa Style,Department Event,Not specified,2025-02-14T11:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Schooltime+Matinee%3a+Versa+Style)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,Not specified,,Not specified,Not specified,
74,R&amp;B Vibe Tour,Department Event,Not specified,2025-02-14T19:00:00,EagleBank Arena (Patriot Center),0,Not specified,Not specified,"Featuring:&#160; Tyrese, Monica, 112, Silk, NEXT Tickets can be purchased at www.ticketmaster.com or at the EagleBank Arena Box Office.&#160; Box Office hours are Tuesday - Thursday (12pm - 6pm) or Friday - Saturday (12pm - 4pm).",Not specified,Not specified,
75,Access to Excellence,Department Event,Not specified,2025-02-15T08:00:00,"Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Not specified,Not specified,Access to Excellence is an event for HSDA seniors to complete FAFSA,Not specified,Not specified,
76,Admissions: Access to Excellence Seminar,Student Organization,Not specified,2025-02-15T10:00:00,"Johnson Center, Cinema, Fairfax Campus, Johnson Center, 239A, Marion Deshmukh Seminar Room, Fairfax Campus, Johnson Center, 244, Conference Room, Fairfax Campus, Johnson Center, 325, Meeting Room A, Fairfax Campus, Johnson Center, 326, Meeting Room B,&#8230;",0,Not specified,Not specified,"The Access to Excellence Seminar is an access focused event funded by the SCHEV Pell Imitative for Virginia. The event will serve juniors and seniors primarily from high school direct admission schools. By specifically targeting Pell eligible students, the event aims to address financial barriers that may otherwise deter them from pursuing further education and increase the number of Pell eligible students at Mason. Facilitation of the event will include additional offices included in the grant.",Not specified,Not specified,
77,Early Identification Program Senior Event,Department Event,Not specified,2025-02-15T11:00:00,,0,Not specified,Not specified,The Early Identification Program will host workshops to support their seniors through the process of applying and getting accepted to college.&#160;,Not specified,Not specified,
78,The Acting Company,Department Event,Not specified,2025-02-15T20:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(The+Acting+Company)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,$50,"The Comedy of Errors Written by William Shakespeare In a modern verse translation by Christina Anderson Directed by Devin Brain The Acting Company presents 2022 Tony Award nominee Christina Anderson&#8217;s delightful modern verse translation of one of Shakespeare&#8217;s earliest works, The Comedy of Errors . In this farcical romp, separated families and mistaken identities create hilarious mayhem. Antipholus and his servant, Dromio, travel in search of a long-lost family member, only to get mixed up in a wild race against the clock, love-at-first-double-take, run-ins with local law enforcement, and double trouble. Founded in 1972 and based in New York City, The Acting Company has been hailed as &#8220;the major touring classical theater in the United States&#8221; ( New York Times ). The company has given over 400 actors an artistic home to develop their craft and has helped kickstart the careers of Kevin Kline, Jeffrey Wright, Patti LuPone, and Rainn Wilson, among others. Experience this comedic play for the ages.This production is in partnership with&#160;Play On Shakespeare, a non-profit company promoting and creating contemporary modern verse translations of Shakespeare&#8217;s plays.&#160;About the&#160;playwright:&#160;Christina Anderson is a 2022 Tony Award Nominee for Outstanding Book of the Broadway musical&#160; Paradise Square . She is a playwright, TV writer, screenwriter, educator, and creative. Her work has been produced by theaters such as the Goodman Theatre, Berkeley Rep, Oregon Shakespeare Festival, Kansas City Rep, Geva Theatre, and Yale Rep.&#160; Content Warnings: loud noises, stylized stage violence, discussion of mature content (adultery) Tickets: $50, $43, $29; half-price for youth through Grade 12 Run Time: approximately 100 minutes, with no intermission 2024-25 Hylton Performing Arts Center Season Sponsor:",Not specified,Not specified,
79,Versa-Style Street Dance Company,Student Organization,Not specified,2025-02-15T20:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Versa-Style+Street+Dance+Company)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$50,"Mason Artist-in-Residence Versa - Style Street Dance Company &#160; Rooted Rhythms Named &#8220;Los Angeles&#8217; Best Dance Troupe for Hip Hop Empowerment&#8221; by &#160; LA Weekly , Versa-Style Street Dance Company &#160; immerses its audience in the electrifying world of Hip Hop and street dance culture. To mark its 20th anniversary, the troupe presents &#160; Rooted Rhythms, &#160; a &#160; mixed repertory program of its most popular works, paying homage to street dance styles such as whacking, popping, and house dance, as well as a blend of Afro-Latin styles including salsa and West African. &#8220;A stylistic smorgasbord&#8221; ( New Yorker ) &#160; representing the diverse experiences of the BIPOC communities of Los Angeles, &#160; the group&#8217;s unique blend of choreography and freestyle elements provides an &#160; &#8220;uplifting and joyous&#8221; ( Maryland Theatre Guide ) experience that will have its audience grooving and moving. During its residency, &#160; Ver sa-Styl e &#160; Street Dance Company will engage the community and Mason students through a variety of events, classes, and discussions. This performance is appropriate for all ages. Tickets: $50, $43, $29; half-price for youth through Grade 12 The Mason Artist-in-Residence program is supported in part by the Wendy Frieman and David Johnson Fund.",Not specified,Not specified,
80,Sound of The Horn,Department Event,Not specified,2025-02-16T09:00:00,"Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Not specified,Not specified,"The Sound of the Horn is an annual event organized by EESA, SSA, and SSA at George Mason University. It celebrates and showcases the rich culture of East Africa while bringing together people from across the region.",Not specified,Not specified,
81,TCS Youth Orchestra,Department Event,Not specified,2025-02-16T13:30:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(TCS+Youth+Orchestra)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,Not specified,,Not specified,Not specified,
82,TCS Youth Orchestra,Department Event,Not specified,2025-02-16T18:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(TCS+Youth+Orchestra)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,Not specified,,Not specified,Not specified,
83,August Wilson&#8217;s Two Trains Running,Department Event,Not specified,2025-02-16T19:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(August+Wilson%e2%80%99s+Two+Trains+Running)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$50,"Written by August Wilson Directed by &#160;Lili-Anne Brown &#160; The Acting Company returns with August Wilson&#8217;s Tony Award-winning play Two Trains Running. Set amid the civil rights movement, the drama centers on Memphis Lee, an African American diner owner whose business is set to be demolished for an urban renewal project. While Lee fights for fairness and dignity, his customers struggle with how gentrification is changing their lives in unpredictable ways. The Acting Company, recipient of a Tony Award for Excellence in the Theatre, is thrilled to bring to life Wilson&#8217;s vibrant characters, rich language, and thought-provoking ideas. Two Trains Running is a poignant tribute to the spirit and perseverance of the people who make our country great even when faced with overwhelming odds. This production&#160;is part of a repertory tour including The Comedy of Errors , presented in partnership with&#160;Play&#160;On&#160;Shakespeare, a non-profit company promoting and creating contemporary modern verse translations of Shakespeare&#8217;s&#160;plays. Tickets: $50, $43, $29; half-price for youth through Grade 12 Content Warnings: loud noises, mature content, and language (some racially charged language, use of the n-word, discussion of political violence, war, and profanity) This performance will be audio described and ASL interpreted. Run Time: approximately two and a half hours, plus intermission &#160;",Not specified,Not specified,
84,Admissions - Spotlight Day,Student Organization,Not specified,2025-02-17T10:00:00,"Johnson Center, Cinema, Fairfax Campus, Johnson Center, 239A, Marion Deshmukh Seminar Room, Fairfax Campus, Johnson Center, 244, Conference Room, Fairfax Campus, Johnson Center, 325, Meeting Room A, Fairfax Campus, Johnson Center, 326, Meeting Room B,&#8230;",0,Not specified,Not specified,Spotlight Days are for admitted students. Students will hear from a panel made up of current Mason students and representatives from campus partners. Academic units will offer information sessions followed by student support resources browsing. Mason Ambassadors will offer campus tours and lunch will be offered.,Not specified,Not specified,
85,Navegando tu Futuro Summit,Student Organization,Not specified,2025-02-18T09:00:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Ballroom, Lobby, Fairfax Campus",0,Not specified,Not specified,"<span data-olk-copy-source=&quot;MessageBody&quot;>Our education program has been running since spring, focusing on preparing middle school students for their future educational paths. Through interactive presentations, we provide students and teachers with essential tools and resources to support their academic journeys.",Not specified,Not specified,
86,MCPS All-City Chorus Concert,Student Organization,Not specified,2025-02-18T18:30:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(MCPS+All-City+Chorus+Concert)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center</a>",0,Not specified,Not specified,"Presented in collaboration with Manassas City Public Schools&#160;as a choral program&#160;showcase, students from MCPS schools spend the day at the Hylton Center rehearsing, observing, and learning from each other. The evening concert is the culmination of many hours of work by the students and teachers. FREE &#160;",Not specified,Not specified,
87,Azucar Bacahta 1,Department Event,Not specified,2025-02-18T19:00:00,"<a href=""http://maps.google.com/?q=38.830703,-77.304832(Azucar+Bacahta+1)"" target=""_blank"" rel=""noopener"">The HUB, Ballroom, Front &amp; Middle, Fairfax Campus</a>",0,Not specified,Not specified,Bachata 1 Class and Social,Not specified,Not specified,
88,Navegando tu Futuro Summit,Student Organization,Not specified,2025-02-19T09:00:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Ballroom, Lobby, Fairfax Campus",0,Not specified,Not specified,"<span data-olk-copy-source=&quot;MessageBody&quot;>Our education program has been running since spring, focusing on preparing middle school students for their future educational paths. Through interactive presentations, we provide students and teachers with essential tools and resources to support their academic journeys.",Not specified,Not specified,
89,Azucar Zouk 1,Department Event,Not specified,2025-02-19T19:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Azucar+Zouk+1)"" target=""_blank"" rel=""noopener"">Johnson Center, Bistro, Fairfax Campus</a>",0,Not specified,Not specified,Azucar Zouk 1 Class and Social,Not specified,Not specified,
90,HOLD: Visual Voices,Department Event,Not specified,2025-02-20T12:00:00,"<a href=""http://maps.google.com/?q=38.830749,-77.308597(HOLD%3a+Visual+Voices)"" target=""_blank"" rel=""noopener"">Harris Theatre, Fairfax Campus</a>",0,Not specified,Not specified,.,Not specified,Not specified,
91,Visual Voices with Morgan Ashcom,Department Event,Not specified,2025-02-20T16:45:00,Virtual Event Zoom,0,Not specified,Not specified,"Visual Voices is a lecture series hosted by Mason Exhibitions and the School of Art and Design. We look forward to seeing you in person or online on Thursday, February 20, 4:45pm to 6:30 pm. RSVP: signup.e2ma.net&#8230; Morgan Ashcom&#39;s multidisciplinary artworks and books explore the tension between fiction, myth and lived experience in the context of imperialism. Ashcom&#39;s work has been exhibited and published across the globe. He has received numerous awards including German Photobook and the Center for Photography at Woodstock Purchase Prize. His work has been featured in Le Monde, The Brooklyn Rail, Jewish Currents, and The British Journal of Photography. Ashcom is former faculty of Western Connecticut State University, Ithaca College, University of Hartford, Cornell University and the University of Virginia. He is also the Founding Director of Visible Records. This event will be held at the Harris Theater and RSVP is required to receive the zoom link the day-of the event via email! Harris Theater is building #27 on the campus map and the nearest paid visitor parking is at the Mason Pond Parking Deck.",This event will be held at the Harris Theater and RSVP is required to receive the zoom link the day-of the event via email! Harris Theater is building #27 on the campus map and the nearest paid visitor parking is at the Mason Pond Parking Deck,Not specified,
92,"The United States Army Band &quot;Pershing&#39;s Own&quot; Presents The Music of Janelle Mon&#225;e: Love, Liberation, and Joy",Department Event,Not specified,2025-02-20T19:30:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(The+United+States+Army+Band+%22Pershing%27s+Own%22+Presents+The+Music+of+Janelle+Mon%c3%a1e%3a+Love%2c+Liberation%2c+and+Joy)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,Not specified,"This concert seeks to explore the music of Janelle Mon&#225;e through the lenses of Love, Liberation, and Joy. Musicians from The Army Band have curated a beautiful performance highlighting the Afrofuturistic aesthetic through the music of this innovative artist. This performance is presented in collaboration with the Veterans and the Arts Initiative at George Mason University.",Not specified,Not specified,
93,NATS Competition,Department Event,Not specified,2025-02-21T07:30:00,"<a href=""http://maps.google.com/?q=38.830749,-77.308597(NATS+Competition)"" target=""_blank"" rel=""noopener"">Harris Theatre, Fairfax Campus</a>",0,Not specified,Not specified,,Not specified,Not specified,
94,VA NATS Conference,Department Event,Not specified,2025-02-21T07:30:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(VA+NATS+Conference)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,Not specified,VA NATS Conference,Not specified,Not specified,
95,TobyMac Concert,Department Event,Not specified,2025-02-21T19:00:00,EagleBank Arena (Patriot Center),0,Not specified,Not specified,"Featuring:&#160; Cain, Crowder, Ryan Stevenson, Terrian Tickets can be purchased at www.ticketmaster.com or at the EagleBank Arena Box Office.&#160; Box Office hours are Tuesday - Thursday (12pm - 6pm) and Friday - Saturday (12pm - 4pm). &#160;",Not specified,Not specified,
96,NATS Competition,Department Event,Not specified,2025-02-22T07:30:00,"<a href=""http://maps.google.com/?q=38.830749,-77.308597(NATS+Competition)"" target=""_blank"" rel=""noopener"">Harris Theatre, Fairfax Campus</a>",0,Not specified,Not specified,,Not specified,Not specified,
97,REN - NCAP Mini Champs Swim Meet,Department Event,Not specified,2025-02-22T07:30:00,"Freedom Center, Competition Pool, Science and Technology Campus, Freedom Center, Parking Lot Back, Science and Technology Campus, Freedom Center, Parking Lot Front, Science and Technology Campus, Freedom Center, Lobby, Science and Technology Campus,&#8230;",0,Not specified,Not specified,NCAP Swim Meet,Not specified,Not specified,
98,VA NATS Conference,Department Event,Not specified,2025-02-22T07:30:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(VA+NATS+Conference)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,Not specified,VA NATS Conference,Not specified,Not specified,
99,Admissions Saturday Information Sessions,Department Event,Not specified,2025-02-22T09:00:00,,0,Not specified,Not specified,Information session location for Admissions Saturday sessions (tours launched after each session)&#160;,Not specified,Not specified,
100,Admissions - Scholars Welcome and Reception,Department Event,Not specified,2025-02-22T12:00:00,"Johnson Center, 325, Meeting Room A, Fairfax Campus, Johnson Center, 326, Meeting Room B, Fairfax Campus, Johnson Center, 327, Meeting Room C, Fairfax Campus, Johnson Center, 333, Meeting Room D, Fairfax Campus, Johnson Center, 334, Meeting Room E,&#8230;",0,Not specified,Not specified,,Not specified,Not specified,
101,Admissions - University Scholar&#39;s Challenge,Department Event,Not specified,2025-02-22T12:00:00,"Johnson Center, Cinema, Fairfax Campus, Horizon Hall, 1001, Atrium, Fairfax Campus",0,Not specified,Not specified,,Not specified,Not specified,
102,Step Show,Department Event,Not specified,2025-02-22T19:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Step+Show)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,Not specified,&#160; &#160;&#160;,Not specified,Not specified,
103,TobyMac Concert,Department Event,Not specified,2025-02-22T19:00:00,EagleBank Arena (Patriot Center),0,Not specified,Not specified,"Featuring:&#160; Cain, Crowder, Ryan Stevenson, Terrian Tickets can be purchased at www.ticketmaster.com or at the EagleBank Arena Box Office.&#160; Box Office hours are Tuesday - Thursday (12pm - 6pm) and Friday - Saturday (12pm - 4pm). &#160;",Not specified,Not specified,
104,REN - NCAP Mini Champs Swim Meet,Department Event,Not specified,2025-02-23T07:30:00,"Freedom Center, Competition Pool, Science and Technology Campus, Freedom Center, Parking Lot Back, Science and Technology Campus, Freedom Center, Parking Lot Front, Science and Technology Campus, Freedom Center, Lobby, Science and Technology Campus,&#8230;",0,Not specified,Not specified,NCAP Swim Meet,Not specified,Not specified,
105,Admissions - Honors College &#8220;A Celebration of Excellence&#8221;,Department Event,Not specified,2025-02-23T09:30:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Admissions+-+Honors+College+%e2%80%9cA+Celebration+of+Excellence%e2%80%9d)"" target=""_blank"" rel=""noopener"">Johnson Center, Cinema, Fairfax Campus</a>",0,Not specified,Not specified,,Not specified,Not specified,
106,Admissions - Honors College &#8220;A Celebration of Excellence&#8221;,Department Event,Not specified,2025-02-23T09:30:00,"Johnson Center, 239A, Marion Deshmukh Seminar Room, Fairfax Campus, Johnson Center, 244, Conference Room, Fairfax Campus, Johnson Center, 325, Meeting Room A, Fairfax Campus, Johnson Center, 326, Meeting Room B, Fairfax Campus, Johnson Center, 327,&#8230;",0,Not specified,Not specified,,Not specified,Not specified,
107,Admissions Celebration of Excellence,Department Event,Not specified,2025-02-23T09:30:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Admissions+Celebration+of+Excellence)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,Not specified,,Not specified,Not specified,
108,Czech National Symphony Orchestra,Department Event,Not specified,2025-02-23T16:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Czech+National+Symphony+Orchestra)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,$60,"Steven Mercurio, music director Sandy Cameron, violin Maxim Lando, piano Program : This program has been updated from the originally announced repertoire. Vor&#237;&#353;ek: Symphony in D major, Allegro con brio Mendelssohn: Violin Concerto in E minor, Op. 64 Dvor&#225;k: Piano Concerto in G minor, Op. 33 Dvor&#225;k:&#160;Czech Suite, Op. 39 The 2022 Gramophone Orchestra of the Year nominee, Czech National Symphony Orchestra (CNSO) makes its Hylton Center debut with a masterful program of fiery, powerhouse works under the direction of Music Director Steven Mercurio. Featuring rising violinist Sandy Cameron, who will perform Mendelssohn&#8217;s Violin Concerto in E minor, Op. 64.&#160;Cameron debuted as a performer at age 12 and has made waves as a unique artist with a diverse range of musical styles and performance prowess. &#8220;Acrobatic, athletic, and commanding, Cameron&#8217;s powerful violin playing approach[es] the realm of performance art&#8221; ( DC Metro Theater Arts ). Enjoy additional works including Dvor&#225;k&#8217;s Piano Concerto in G minor, Op. 33 performed by Maxim Lando; Dvor&#225;k&#8217;s Czech Suite, Op. 39;&#160;and&#160;Vor&#237;&#353;ek&#8217;s first movement from his Symphony in D major, Allegro con brio. The CNSO ranks among the most highly sought after orchestras in Europe and the United States and is consistently praised for its versatile programs that include classical, film scores, jazz, musicals, and more. Don&#8217;t miss this compelling collaboration between orchestra and instrumentalist! This performance is appropriate for all ages. Tickets: $60, $51, $36; half-price for youth through Grade 12 Run Time: approximately 80 minutes, plus intermission Sponsored in part by Prince William County Office of Tourism 2024-25 Hylton Performing Arts Center Season Sponsor:",Not specified,Not specified,
109,MSA Spring Night of Light,Department Event,Not specified,2025-02-24T12:00:00,"Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Not specified,Not specified,Join MSA for one of the biggest events of the semester!&#160;,Not specified,Not specified,
110,Faculty and Staff Donor Event,Department Event,Not specified,2025-02-25T17:00:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Ballroom, Lobby, Fairfax Campus",0,Not specified,Not specified,Faculty and Staff donor appreciation reception,Not specified,Not specified,
111,Mason Wind Symphony &amp; Symphonic Band Concert #3 Spring 2025,Student Organization,Not specified,2025-02-25T20:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Mason+Wind+Symphony+%26+Symphonic+Band+Concert+%233+Spring+2025)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$15,"GET TICKETS The Mason Wind Symphony and Symphonic Band open the Spring 2025 performance season with a joint concert performance, conducted by Director of Bands Dr. William L. Lake, Jr. Tickets: $15 General Public, $10 Seniors, $5 Students PERFORMANCE PROGRAM The program for this performance will be available the week of the event. View digital program.",Not specified,Not specified,
112,The Power of Prototyping,Department Event,Not specified,2025-02-28T08:00:00,"Van Metre Hall, 125/126, Multipurpose Room, Mason Square, Van Metre Hall, 134, Auditorium, Mason Square, Van Metre Hall, Art Gallery, Mason Square",0,Not specified,Not specified,SAVE THE DATE,Not specified,Not specified,
